Public Food Key,Food Name
F002164,"Cake, mud, dark chocolate, homemade, chocolate ganache icing"
F002171,"Cake, plain butter cake, homemade, uniced"
F002171,"Cake, plain butter cake, homemade, uniced"
F002171,"Cake, plain butter cake, homemade, uniced"
F002171,"Cake, plain butter cake, homemade, uniced"
F002171,"Cake, plain butter cake, homemade, uniced"
F002171,"Cake, plain butter cake, homemade, uniced"
F002170,"Cake, plain butter cake, homemade, iced"
F002170,"Cake, plain butter cake, homemade, iced"
F002170,"Cake, plain butter cake, homemade, iced"
F002170,"Cake, plain butter cake, homemade, iced"
F002170,"Cake, plain butter cake, homemade, iced"
F002177,"Cake, sponge, plain, commercial, uniced, filled with jam & cream"
F002177,"Cake, sponge, plain, commercial, uniced, filled with jam & cream"
F002177,"Cake, sponge, plain, commercial, uniced, filled with jam & cream"
F003575,"Doughnut, jam filled, sugar coated"
F003575,"Doughnut, jam filled, sugar coated"
F006298,"Pancake, plain, homemade"
F006298,"Pancake, plain, homemade"
F006298,"Pancake, plain, homemade"
F006298,"Pancake, plain, homemade"
F007507,"Pudding, chocolate, homemade"
F007507,"Pudding, chocolate, homemade"
F007507,"Pudding, chocolate, homemade"
F007507,"Pudding, chocolate, homemade"
F007507,"Pudding, chocolate, homemade"
F007507,"Pudding, chocolate, homemade"
F007512,"Pudding, plum, steamed or boiled, homemade"
F007512,"Pudding, plum, steamed or boiled, homemade"
F007512,"Pudding, plum, steamed or boiled, homemade"
F007512,"Pudding, plum, steamed or boiled, homemade"
F007512,"Pudding, plum, steamed or boiled, homemade"
F007512,"Pudding, plum, steamed or boiled, homemade"
F007512,"Pudding, plum, steamed or boiled, homemade"
F007512,"Pudding, plum, steamed or boiled, homemade"
F007512,"Pudding, plum, steamed or boiled, homemade"
F007512,"Pudding, plum, steamed or boiled, homemade"
F007512,"Pudding, plum, steamed or boiled, homemade"
F007512,"Pudding, plum, steamed or boiled, homemade"
F007512,"Pudding, plum, steamed or boiled, homemade"
F007529,"Pudding, sticky date, homemade"
F007529,"Pudding, sticky date, homemade"
F007529,"Pudding, sticky date, homemade"
F007529,"Pudding, sticky date, homemade"
F007529,"Pudding, sticky date, homemade"
F007529,"Pudding, sticky date, homemade"
F007529,"Pudding, sticky date, homemade"
F007529,"Pudding, sticky date, homemade"
F007529,"Pudding, sticky date, homemade"
F007529,"Pudding, sticky date, homemade"
F008174,"Scone, plain, homemade"
F008174,"Scone, plain, homemade"
F008174,"Scone, plain, homemade"
F008174,"Scone, plain, homemade"
F008174,"Scone, plain, homemade"
F008174,"Scone, plain, homemade"
F008172,"Scone, fruit, commercial"
F008172,"Scone, fruit, commercial"
F008172,"Scone, fruit, commercial"
F008176,"Scone, pumpkin, homemade"
F008176,"Scone, pumpkin, homemade"
F008176,"Scone, pumpkin, homemade"
F008176,"Scone, pumpkin, homemade"
F008176,"Scone, pumpkin, homemade"
F008176,"Scone, pumpkin, homemade"
F008278,"Slice, caramel"
F008278,"Slice, caramel"
F008278,"Slice, caramel"
F008278,"Slice, caramel"
F008278,"Slice, caramel"
F008278,"Slice, caramel"
F008278,"Slice, caramel"
F008278,"Slice, caramel"
F001918,"Buckwheat groats, cooked in water, no added salt"
F001918,"Buckwheat groats, cooked in water, no added salt"
F007156,"Porridge, rolled oats, prepared with regular fat cows milk"
F007156,"Porridge, rolled oats, prepared with regular fat cows milk"
F000378,"Barley, pearl, boiled, no added fat or salt"
F000378,"Barley, pearl, boiled, no added fat or salt"
F003227,"Cornmeal (polenta), boiled, no added fat or salt"
F003227,"Cornmeal (polenta), boiled, no added fat or salt"
F003235,"Couscous, boiled, no added fat or salt"
F003235,"Couscous, boiled, no added fat or salt"
F005690,"Millet, boiled, no added fat or salt"
F005690,"Millet, boiled, no added fat or salt"
F007164,"Porridge, rolled oats, prepared with water"
F007164,"Porridge, rolled oats, prepared with water"
F007598,"Quinoa, uncooked"
